Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Valeria Aponte,Jr.,DS/L,5-7,Corporate Finance,Business,https://www.bentleyfalcons.com/sports/wvball/2019-20/bios/aponte_valeria_11u7?view=bio,Guaynabo,Academia María Reina,Y,Bentley University,Massachusetts,https://www.bentleyfalcons.com/sports/wvball/index,Northeast-10 Conference,NCAA DII
Naomi Eckert,Fr.,S,5-8,Health Science,Health and Medicine,https://aicyellowjackets.com/sports/womens-volleyball/roster/naomi-eckert/8517,Toa Baja,Antilles High School,Y,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA DII
Lyanne Hernández,So.,OH,5-8,Physical Therapy,Health and Medicine,https://aicyellowjackets.com/sports/womens-volleyball/roster/lyanne-hernandez/8510,Peñuelas,Liceo Ponceño,Y,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA DII
Claudia González,So.,MB,6-2,Business,Business,https://aicyellowjackets.com/sports/womens-volleyball/roster/claudia-gonzalez/8509,Ponce,Colegio del Sagrado Corazón de Jesús,Y,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA DII
Andrea Serra,Jr.,OH,5-10,Business Marketing,Business,https://aicyellowjackets.com/sports/womens-volleyball/roster/andrea-serra/8514,Toa Alta,Colegio Puertorriqueño de Niñas,Y,American International College,Massachusetts,https://aicyellowjackets.com/sports/womens-volleyball,Northeast-10 Conference,NCAA DII
Michelle Henwood,Fr.,S,5-9,Elementary Education,Social Sciences,https://www.saintanselmhawks.com/sports/wvball/2019-20/bios/henwood_michelle_kk31?view=bio,Guaynabo,Academia María Reina,Y,Saint Anselm College,New Hampshire,https://www.saintanselmhawks.com/sports/wvball/index,Northeast-10 Conference,NCAA DII
Itzel Cruz,Fr.,DS/L,5-3,Forensic Science,Public and Social Services,https://newhavenchargers.com/sports/womens-volleyball/roster/itzel-cruz/10525,San Juan,Colegio Católico Notre Dame,Y,University of New Haven,Connecticut,https://newhavenchargers.com/index.aspx?path=wvball,Northeast-10 Conference,NCAA DII
Natalia Quiñones,Sr.,MB,6-0,Accounting,Business,https://paceuathletics.com/sports/womens-volleyball/roster/natalia-quinones/5545,San Juan,Colegio La Piedad,Y,Pace University,New York,https://paceuathletics.com/sports/womens-volleyball,Northeast-10 Conference,NCAA DII
Lara Herrero,So.,OH,5-8,Undeclared,,https://assumption.prestosports.com/sports/wvball/2019-20/bios/herrero_lara_h1oo?view=bio,San Juan,Academia María Reina,Y,Assumption College,Massachusetts,https://assumption.prestosports.com/sports/wvball/index,Northeast-10 Conference,NCAA DII
Ariana Orcera,Jr.,OH,5-8,Criminology,Social Sciences,https://assumption.prestosports.com/sports/wvball/2019-20/bios/orcera_ariana_y8jg?view=bio,Guaynabo,Colegio Marista,Y,Assumption College,Massachusetts,https://assumption.prestosports.com/sports/wvball/index,Northeast-10 Conference,NCAA DII
Tammy Reyes Pérez,Jr.,S,5-9,,,https://vstateblazers.com/sports/womens-volleyball/roster/tammy-reyes-perez/3720,Bayamón,Colegio Puertorriqueño de Niñas,Y,Valdosta State University,Georgia,https://vstateblazers.com/index.aspx?path=wvball,Gulf South Conference,NCAA DII
Liz Ortiz Muñoz,Sr.,L,5-8,Chemistry,S.T.E.M.,https://ssuathletics.com/sports/womens-volleyball/roster/liz-ortiz/4289,Coamo,Colegio Nuestra Señora de Valvanera,Y,Savannah State University,Georgia,https://ssuathletics.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA DII
Valeria Aldarondo,So.,S,5-8,Biology,S.T.E.M.,https://ssuathletics.com/sports/womens-volleyball/roster/valeria-aldarondo/4291,Isabela,Carib Christian School,Y,Savannah State University,Georgia,https://ssuathletics.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA DII
Gyanella Vega Ortega,Fr.,MB,5-8,,,https://ksuthorobreds.com/sports/womens-volleyball/roster/gyanella-vega-ortega/2998,Aguadilla,Carib Christian School,Y,Kentucky State University,Kentucky,https://ksuthorobreds.com/index.aspx?path=wvball,Southern Intercollegiate Athletic Conference,NCAA DII
Carolin Santa,Jr.,OH,5-9,Biology,S.T.E.M.,https://www.lakeeriestorm.com/sports/wvball/2019-20/bios/santa_carolin_84jz?view=bio,Arecibo,Christian Military Academy,Y,Lake Erie College,Ohio,https://www.lakeeriestorm.com/sports/wvball/index,Great Midwest Athletic Conference,NCAA DII
Norian Ceballos Plaza,So.,MH,5-11,,,https://uafortsmithlions.com/sports/womens-volleyball/roster/norian-ceballos-plaza/1550,Loíza,CIEM Private School,Y,University of Arkansas Fort Smith,Arkansas,https://uafortsmithlions.com/index.aspx?path=wvball,Lone Star Conference,NCAA DII
Isabel Vega,So.,OH,5-8,Biology,S.T.E.M.,https://twuathletics.com/sports/womens-volleyball/roster/isabel-vega/1209,Toa Alta,Colegio Rosa-Bell,Y,Texas Woman's University,Texas,https://twuathletics.com/index.aspx?path=wvball,Lone Star Conference,NCAA DII
Gabriela Martínez,Sr.,DS,5-2,,,http://www.nmuwildcats.com/sports/wvball/2019-20/bios/martinez_gabriela_y511?view=bio,Vega Baja,Colegio Marista,Y,Northern Michigan University,Michigan,http://www.nmuwildcats.com/sports/wvball/index,Great Lakes Intercollegiate Athletic Conference,NCAA DII
Natalia Cruz,Sr.,DS/L,5-9,,,https://goumary.com/sports/womens-volleyball/roster/natalia-cruz/4901,San Juan,Wesleyan Academy,Y,University of Mary,North Dakota,https://goumary.com/index.aspx?path=wvball,Northern Sun Intercollegiate Conference,NCAA DII
Claudia Rivera,So.,L,5-3,Human Performance,Health and Medicine,https://www.tampaspartans.com/sports/wvball/2019-20/bios/rivera_claudia_qawg?view=bio,Gurabo,Colegio Católico Notre Dame,Y,University of Tampa,Florida,https://www.tampaspartans.com/sports/wvball/index,Sunshine State Conference,NCAA DII
Nicole Domínguez,Sr.,L,5-8,Pre-med,S.T.E.M.,https://www.tampaspartans.com/sports/wvball/2019-20/bios/dominguez_nicole_9wl4?view=bio,Manatí,Apopka High School,N,University of Tampa,Florida,https://www.tampaspartans.com/sports/wvball/index,Sunshine State Conference,NCAA DII
Fabiola Rosado,Sr.,DS,5-1,Sport Business,Health and Medicine,https://saintleolions.com/sports/womens-volleyball/roster/fabiola-rosado/4636,San Juan,McKeel Academy of Technology,N,Saint Leo University,Florida,https://saintleolions.com/index.aspx?path=wvball,Sunshine State Conference,NCAA DII
Alondra Rodríguez,Jr.,L,5-4,,,https://rollinssports.com/sports/wvball/roster/alondra-rodriguez/4766,Bayamón,Springstead High School,N,Rollins College,Florida,https://www.rollinssports.com/sports/wvball/index,Sunshine State Conference,NCAA DII
Sheila Villagrasa,Sr.,S,5-9,,,https://floridatechsports.com/sports/womens-volleyball/roster/sheila-villagrasa/13604,San Juan,St. Mary's School,Y,Florida Technical College,Florida,https://floridatechsports.com/index.aspx?path=wvball,Sunshine State Conference,NCAA DII
Anixa Rosa Martínez,Fr.,OH,5-8,,,https://gocuhawks.com/sports/womens-volleyball/roster/anixa-rosa-martinez/4071,San Lorenzo,Colegio Adianez,Y,Chowan University,North Carolina,https://gocuhawks.com/index.aspx?path=wvball,Conference Carolinas,NCAA DII
Alondra Díaz Sánchez,So.,DS/L,5-4,Biology,S.T.E.M.,https://www.felicianathletics.com/sports/wvball/2019-20/bios/diaz_sanchez_alondra_d3on?view=bio,Toa Alta,Colegio De La Salle,Y,Felician University,New Jersey,https://www.felicianathletics.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Junelly Marrero,Jr.,DS/L,5-4,Psychology,Social Sciences,https://bcbearsathletics.com/sports/womens-volleyball/roster/junelly-marrero/2538,Cataño,Academia Bautista de Puerto Nuevo,Y,Bloomfield College,New Jersey,https://bcbearsathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Alejandra Leal Montes,Jr.,DS/L,5-4,,,https://caldwellathletics.com/sports/womens-volleyball/roster/alejandra-leal-montes/2346,Gurabo,Colegio Católico Notre Dame,Y,Caldwell University,New Jersey,https://caldwellathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Tanializ Rivera,Fr.,MB,5-11,Business Administration,Business,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rivera_tanializ_vyl5?view=profile,Carolina,Academia Presbiteriana en Villa Carolina,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Lydimar Soto De Los Santos,Fr.,DS,5-5,Criminal Justice,Public and Social Services,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/soto_lydimar_kazg?view=profile,Trujillo Alto,Academia Bautista de Puerto Nuevo,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Alana Rousset Hernández,Sr.,DS/S,5-2,Biology / Psychology,S.T.E.M.,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rousset-hernandez_alana_xd1u?view=profile,Canóvanas,Carvin School,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Militza de Hostos,So.,RSH,5-7,Radiology,S.T.E.M.,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/hostos_militza_rlc3?view=profile,Bayamón,Colegio Beato Carlos Manuel Rodríguez,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Nilka Rivera,So.,OH,5-11,Biology,S.T.E.M.,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rivera_nilka_gtp1?view=profile,Bayamón,Academia Discípulos de Cristo,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Camila Rabassa,Sr.,OH,6-0,Biology,S.T.E.M.,https://www.concordiaclippers.com/sports/wvball/2019-20/bios/rabassa_camila_r29q?view=profile,Juana Díaz,ECEDAO,Y,Concordia College New York,New York,https://www.concordiaclippers.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Paula Céspedes,Jr.,DS/L,5-0,Psychology/Education,Social Sciences,https://gculions.com/sports/womens-volleyball/roster/paula-cespedes/2711,Carolina,Fountain Christian Bilingual School,Y,Georgian Court University,New Jersey,https://gculions.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Talía González,Fr.,OH,6-0,Biology,S.T.E.M.,https://gculions.com/sports/womens-volleyball/roster/talia-gonzalez/2723,Florida,Piaget Bilingual Academy,Y,Georgian Court University,New Jersey,https://gculions.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Vanelix Merced,Sr.,DS/L,5-4,Biology,S.T.E.M.,https://gculions.com/sports/womens-volleyball/roster/vanelix-gaby-merced/2715,Guaynabo,St. John Vianney High School,N,Georgian Court University,New Jersey,https://gculions.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Nahomie Alejandro,Fr.,MB/RSH,5-10,Exercise Science,Interdisciplinary Studies,https://gculions.com/sports/womens-volleyball/roster/nahomie-alejandro-negron/2721,Bayamón,Colegio Adianez,Y,Georgian Court University,New Jersey,https://gculions.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Mainerys Muñoz,Fr.,DS/L,5-7,Psychology,Social Sciences,https://athletics.holyfamily.edu/sports/womens-volleyball/roster/mainerys-munoz/1730,Bayamón,North Stafford High School,N,Holy Family University,Pennsylvania,https://athletics.holyfamily.edu/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Ariana Rosario,Sr.,OH/RSH,5-9,Architecture,S.T.E.M.,http://www.jeffersonrams.com/sports/wvball/2019-20/bios/rosario_ariana_30st?view=bio,Guaynabo,Colegio Puertorriqueño de Niñas,Y,Thomas Jefferson University,Pennsylvania,http://www.jeffersonrams.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Bianca Díaz,Fr.,DS/L,5-7,Health Sciences,Health and Medicine,https://griffinathletics.com/sports/womens-volleyball/roster/bianca-diaz/4042,Humacao,Perkiomen School,N,Chestnut Hill College,Pennsylvania,https://griffinathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Henielys Ramos,Fr.,S/RSH,5-9,Health Sciences,Health and Medicine,https://griffinathletics.com/sports/womens-volleyball/roster/henielys-ramos/4041,Trujillo Alto,Cupeyville School,Y,Chestnut Hill College,Pennsylvania,https://griffinathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Angelí Román Medina,Fr.,S,5-5,Physical Therapy,Health and Medicine,https://www.devilsathletics.com/sports/wvball/2019-20/bios/roman_medina_angeli_q0yo?view=bio,Guaynabo,University Gardens High School,Y,University of the Sciences,Pennsylvania,https://www.devilsathletics.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Natalia Vélez,So.,MB/OH,6-0,Biochemistry,S.T.E.M.,https://www.devilsathletics.com/sports/wvball/2019-20/bios/velez_natalia_fa1l?view=bio,Carolina,Colegio del Espíritu Santo,Y,University of the Sciences,Pennsylvania,https://www.devilsathletics.com/sports/wvball/index,Central Atlantic Collegiate Conference,NCAA DII
Neyshlian Román Concepción,Jr.,DS/L,5-5,Criminal Justice,Public and Social Services,https://www.gbcathletics.com/roster.aspx?rp_id=2025&path=wvball,Toa Baja,Academia Discípulos de Cristo,Y,Goldey-Beacom College,Delaware,https://www.gbcathletics.com/index.aspx?path=wvball,Central Atlantic Collegiate Conference,NCAA DII
Valeria Torres,So.,S/DS,5-7,Pre-Veterinary,Health and Medicine,https://gannonsports.com/sports/womens-volleyball/roster/valeria-torres/6052,Gurabo,Colegio Católico Notre Dame,Y,Gannon University,Pennsylvania,https://gannonsports.com/sports/womens-volleyball,Pennsylvania State Athletic Conference,NCAA DII
Vaneris Fuentes,Fr.,S/RSH,5-11,,,https://athletics.setonhill.edu/sports/womens-volleyball/roster/vaneris-fuentes/4235,Carolina,Colegio Adianez,Y,Seton Hill University,Pennsylvania,https://athletics.setonhill.edu/index.aspx?path=wvball,Pennsylvania State Athletic Conference,NCAA DII
Milleysha Molina Otero,Jr.,L,5-6,,,https://shepherdrams.com/sports/womens-volleyball/roster/milleysha-molina-otero/2756,,Chantilly High School,N,Shepherd University,Pennsylvania,https://shepherdrams.com/index.aspx?path=wvball,Pennsylvania State Athletic Conference,NCAA DII
Vianca Colón González,So.,S,5-6,Marketing,Business,https://athletics.claflin.edu/sports/womens-volleyball/roster/vianca-col-n-gonzalez/1353,,Spring Valley High School,N,Claflin University,South Carolina,https://athletics.claflin.edu/index.aspx?path=wvball,Central Intercollegiate Athletic Association,NCAA DII
Natalia García,Jr.,S,5-3,Health Science,Health and Medicine,https://mercyathletics.com/sports/womens-volleyball/roster/natalia-garcia/2899,Vega Baja,Christian Military Academy,Y,Mercy College,New York,https://mercyathletics.com/index.aspx?path=wvball,East Coast Conference,NCAA DII
Adriana López Soto,Jr.,L,5-5,Exercise Science,Interdisciplinary Studies,https://mercyathletics.com/sports/womens-volleyball/roster/adriana-lopez-soto/2901,Gurabo,Colegio Católico Notre Dame,Y,Mercy College,New York,https://mercyathletics.com/index.aspx?path=wvball,East Coast Conference,NCAA DII
Nichole Rivera Maldonado,Jr.,RSH/MH,6-1,Biology / Pre-Med,Health and Medicine,https://mercyathletics.com/sports/womens-volleyball/roster/nichole-rivera-maldonado/2903,Bayamón,Academia Discípulos de Cristo,Y,Mercy College,New York,https://mercyathletics.com/index.aspx?path=wvball,East Coast Conference,NCAA DII
