Player_Name,Number,Category,Rank,Conference,Institution,State,Division,Position,Photo
Nerealice Quirindongo Torres,0.205,hitting pctg.,7,Gulf Coast Athletic Conference,Edward Waters College,Florida,NAIA,OH / RSH,Edward Waters College Athletcs
Dariana Hollingsworth Santana,0.317,hitting pctg.,9,Southeastern Conference,University of Missouri,Missouri,NCAA DI,OH / RSH,Missouri Athletics
Natalia García,0.275,hitting pctg.,7,East Coast Conference,Mercy College,New York,NCAA DII,Setter,Mercy College Athletics
Paola Beníquez,0.237,hitting pctg.,3,American Collegiate Athletic Association,Pratt Institute,New York,NCAA DIII,OH / RSH,Pratt Institute Athletics
Natalia Caraballo,0.197,hitting pctg.,4,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,OH / RSH,Elms College Athletics
Alanys Cruz,0.195,hitting pctg.,5,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,OH / RSH,Elms College Athletics
Solimar Cestero,424,kills,3,Atlantic Sun Conference,University of North Florida,Florida,NCAA DI,OH / RSH,Brad Young | ASUN Photos
Andrea Serra,532,kills,1,Northeast-10 Conference,American International College,Massachusetts,NCAA DII,OH / RSH,RJB Sports
Anixa Rosa Martínez,270,kills,9,Conference Carolinas,Chowan University,North Carolina,NCAA DII,OH / RSH,Chowan University Athletics
Kiana Pérez Díaz,404,kills,1,Great Northeast Athletic Conference,Lasell University,Massachusetts,NCAA DIII,OH / RSH,Lasell University Athletics
Patricia Martínez,361,kills,6,Landmark Conference,Catholic University of America,Washington D.C.,NCAA DIII,OH / RSH,Catholic University Athletics
Alejandra Figueroa,284,kills,8,Skyline Conference,Manhattanville College,New York,NCAA DIII,OH / RSH,Mike McLaughlin
Paola Sanabria López,3.91,kills/set,1,Kansas Collegiate Athletic Conference,Bethany College,Kansas,NAIA,OH / RSH,Bethany College Athletics
Emileishka de Jesús,3.74,kills/set,1,Chicagoland Collegiate Athletic Conference,Indiana University Northwest,Indiana,NAIA,OH / RSH,Indiana University Northwest
Nerealice Quirindongo Torres,2.75,kills/set,4,Gulf Coast Athletic Conference,Edward Waters College,Florida,NAIA,OH / RSH,Edward Waters College Athletcs
Amanda Allende,2.92,kills/set,5,The Sun Conference,St. Thomas University,Florida,NAIA,OH / RSH,Michelle Murch
Melanie Feliciano,4.18,kills/set,2,Missouri Valley Conference,University of Evansville,Indiana,NCAA DI,OH / RSH,University of Evansville
Alanis Alvarado,3.28,kills/set,3,Metro Atlantic Athletic Conference,Saint Peter's University,New Jersey,NCAA DI,OH / RSH,Beth Lochner
Anadys Valentín,2.80,kills/set,8,Mid-Eastern Athletic Conference,Delaware State University,Delaware,NCAA DI,OH / RSH,Delaware State University Athletics
Sharlissa de Jesús,3.29,kills/set,9,Southern Conference,The Citadel,South Carolina,NCAA DI,OH / RSH,Molly Johnson | The Citadel
Natalia Vélez,3.07,kills/set,7,Central Atlantic Collegiate Conference,University of the Sciences,Pennsylvania,NCAA DII,OH / RSH,David Broytman
Carolina Robles,3.48,kills/set,2,USA South Athletic Conference,Berea College,Kentucky,NCAA DIII,OH / RSH,Berea College Athletics
Jaylianne Ramos,3.01,kills/set,3,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,OH / RSH,Elms College Athletics
Claudia Rivera,3.62,kills/set,4,New England Women's and Men's Athletic Conference,Clark University,Massachusetts,NCAA DIII,OH / RSH,Frank Poulin
Natalia Caraballo,2.66,kills/set,7,New England Collegiate Conference,Elms College,Massachusetts,NCAA DIII,OH / RSH,Elms College Athletics
Karla Santos,401.0,points,2,California Collegiate Athletic Association,Cal State University Los Angeles,California,NCAA DII,OH / RSH,Robert Huskey
Alexa Rivera,3.47,points/set,6,New Jersey Athletic Conference,Rutgers University - Newark,New Jersey,NCAA DIII,OH / RSH,Larry Levanti
