Player,Institution,State,Conference,Division,Stat_link,S,M,K,K.S,E,TA,Hit_Pct,A,A.S,SA,SA.S,D,D.S,BS,BA,TOT,B.S,PTS,Photo
Paola Sanabria López,Bethany College,Kansas,Kansas Collegiate Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1917&plr=83484,109,NA,426,3.91,218,1196,0.174,51,0.47,33,0.3,302,2.77,4,25,29,0.27,475.5,Bethany College Athletics
Melanie Feliciano,University of Evansville,Indiana,Missouri Valley Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=219&stats_player_seq=2213681,109,28,456,4.18,162,1310,0.224,11,0.1,15,0.14,289,2.65,2,40,42,0.39,493,University of Evansville
Solimar Cestero,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=2711&stats_player_seq=2020919,116,30,424,3.66,169,1125,0.227,14,0.12,13,0.11,145,1.25,8,42,50,0.43,466,Brad Young | ASUN Photos
Andrea Serra,American International College,Massachusetts,Northeast-10 Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=22&stats_player_seq=1908837,124,31,532,4.29,199,1398,0.238,14,0.11,55,0.44,414,3.34,5,22,27,0.22,603,RJB Sports
Kiana Pérez Díaz,Lasell University,Massachusetts,Great Northeast Athletic Conference,NCAA DIII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8486&stats_player_seq=2056495,109,31,404,3.71,202,1181,0.171,24,0.22,71,0.65,399,3.66,2,13,15,0.14,483.5,Lasell University Athletics
