Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Ariana Ruiz,Fr.,S/DS,5-5,,,https://neoathletics.com/sports/womens-volleyball/roster/ariana-ruiz/4257,Bayamón,Escuela Francisco Gaztambide Vega,Y,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,NJCAA Region 2,NJCAA DII
Victoria Medina,Fr.,DS/L,5-2,,,https://neoathletics.com/sports/womens-volleyball/roster/victoria-medina/4253,Bayamón,,N,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,NJCAA Region 2,NJCAA DII
Alanis Ruiz,Fr.,MH,5-7,,,https://neoathletics.com/sports/womens-volleyball/roster/alanis-ruiz/4256,Bayamón,Escuela Francisco Gaztambide Vega,Y,Northeastern Oklahoma A&M College,Oklahoma,https://neoathletics.com/index.aspx?path=wvball,NJCAA Region 2,NJCAA DII
Gabriela López,So.,L/OH,,,,https://wisconsin.bscbobcats.com/sports/wvball/2019-20/bios/lopez_gabriela_56oj,San Juan,Fountain Christian Bilingual School,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,NJCAA Region 4,NJCAA DII
Amanda Vega,Fr.,S,,,,https://wisconsin.bscbobcats.com/sports/wvball/2019-20/bios/vega_amanda_xorm,Toa Baja,Bayamón Military Academy,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,NJCAA Region 4,NJCAA DII
Hecsiris Hernández,So.,DS/L,,,,https://wisconsin.bscbobcats.com/sports/wvball/2019-20/bios/hernandez_hecsiris_h6ww,Santa Isabel,Escuela Elvira M. Colón,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,NJCAA Region 4,NJCAA DII
Evelis Vicenty,So.,S,,,,https://wisconsin.bscbobcats.com/sports/wvball/2019-20/bios/vicenty_evelis_njre,San Juan,University High School,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,NJCAA Region 4,NJCAA DII
Angelie Rivera,Fr.,OH,,,,https://wisconsin.bscbobcats.com/sports/wvball/2019-20/bios/rivera_angelie_982f,Vega Baja,Christian Military Academy,Y,Bryant & Stratton College,Wisconsin,https://wisconsin.bscbobcats.com/sports/beachvball/index,NJCAA Region 4,NJCAA DII
Celymar Cabranes,So.,DS,5-6,,,https://www.allenreddevils.com/sports/wvball/2019-20/bios/cabranes_celymar_l1z0?view=profile,Bayamón,Leadership Christian Academy,N,Allen Community College,Kansas,https://www.allenreddevils.com/sports/wvball/index,NJCAA Region 6,NJCAA DII
Laia Jaca,Fr.,S,5-5,,,https://www.allenreddevils.com/sports/wvball/2019-20/bios/jaca_laia_5b1k?view=profile,Carolina,Colegio De Diego de Carolina,Y,Allen Community College,Kansas,https://www.allenreddevils.com/sports/wvball/index,NJCAA Region 6,NJCAA DII
