Institution,PlayerCount
Florida Memorial University,8
Fisher College,4
St. Andrews University,3
Bethany College,2
College of Coastal Georgia,2
Edward Waters College,2
St. Thomas University,2
Webber International University,2
Ave Maria University,1
Briar Cliff University,1
