Player,Institution,State,Conference,Division,Stat_link,S,M,K,K.S,E,TA,Hit_Pct,A,A.S,SA,SA.S,D,D.S,BS,BA,TOT,B.S,PTS
Karina Lozada,St. Andrews University,North Carolina,Appalachian Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18861&plr=75687&tab=2,123,NA,2,0.02,6,51,-0.078,111,0.9,17,0.14,719,5.85,0,0,0,0,19
Stephanie Sánchez,Keiser University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=2055&plr=82467&tab=2,138,NA,9,0.07,19,58,-0.172,70,0.51,34,0.25,588,4.26,0,1,1,0.01,43.5
Yorelis Ríos González,College of Coastal Georgia,Georgia,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=18654&plr=81842&tab=2,99,NA,5,0.05,8,53,-0.057,114,1.15,39,0.39,546,5.52,0,0,0,0,44
Keisha Santana Roldán,Florida Memorial University,Florida,The Sun Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=1978&plr=88216,113,NA,4,0.04,7,30,-0.1,105,0.93,30,0.27,570,5.04,0,0,0,0,34
Keishla Reyes,University of Saint Mary,Kansas,Kansas Collegiate Athletic Conference,NAIA,https://www.dakstats.com/WebSync/Pages/Team/IndividualStats.aspx?association=10&sg=WVB&sea=NAIWVB_2019&team=2078&plr=87733,151,NA,15,0.1,15,115,0,77,0.51,66,0.44,652,4.32,1,1,2,0.01,82.5
Lina Bernier,Florida International University,Florida,Conference USA,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=231&stats_player_seq=1687174,103,26,1,0.01,1,16,0,109,1.06,16,0.16,530,5.15,NA,NA,0,0,17
Laura Rojas,Southern Illinois University,Illinois,Missouri Valley Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=659&stats_player_seq=2026001,123,29,3,0.02,3,25,0,145,1.18,15,0.12,564,4.59,NA,NA,0,0,18
Kizzy Rodríguez,St. Francis College,New York,Northeast Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=599&stats_player_seq=2038044,108,29,4,0.04,1,21,0.143,100,0.93,43,0.4,503,4.66,NA,NA,0,0,47
Alejandra Rodríguez,Quinnipiac University,Connecticut,Metro Atlantic Athletic Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=562&stats_player_seq=1799123,114,30,3,0.03,6,43,-0.07,117,1.03,13,0.11,539,4.73,NA,NA,0,0,16
Nashally Eleutiza,Manhattan College,New York,Metro Atlantic Athletic Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=381&stats_player_seq=2206939,115,31,5,0.04,3,29,0.069,69,0.6,8,0.07,502,4.37,NA,NA,0,0,13
Karla Seda,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=617&stats_player_seq=1911189,109,30,2,0.02,3,32,-0.031,86,0.79,24,0.22,565,5.18,NA,NA,0,0,26
Rocío Moro,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=2711&stats_player_seq=2200138,126,33,1,0.01,5,30,-0.133,124,0.98,29,0.23,633,5.02,NA,NA,0,0,30
Nicole Domínguez,University of Tampa,Florida,Sunshine State Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=689&stats_player_seq=1823678,124,33,17,0.14,12,47,0.106,88,0.71,35,0.28,504,4.06,NA,NA,0,0,52
Junelly Marrero,Bloomfield College,New Jersey,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=984&stats_player_seq=1935949,106,28,18,0.17,8,59,0.169,73,0.69,44,0.42,527,4.97,NA,NA,0,0,62
Neyshlian Román Concepción,Goldey-Beacom College,Delaware,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=8366&stats_player_seq=2238736,100,28,17,0.17,14,84,0.036,65,0.65,42,0.42,521,5.21,NA,NA,0,0,59
Ana Costas,Western Nebraska Community College,Nebraska,NJCAA Region 9,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/westernnebraskacommunitycollege?view=lineup,128,37,1,0.01,0,22,0.045,101,0.79,29,0.23,547,4.27,0,0,0,0,30
Melanie Orsini,Monroe College,New York,NJCAA Region 15,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/monroecollege?view=lineup,139,40,3,0.02,7,53,-0.075,134,0.96,85,0.61,731,5.26,0,0,0,0,88
Celymar Cabranes,Allen Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/allencountycommunitycollege?view=lineup,107,30,28,0.26,12,71,0.225,71,0.66,41,0.38,518,4.84,0,0,0,0,69
