Player,Institution,State,Conference,Division,Stat_link,S,M,K,K.S,E,TA,Hit_Pct,A,A.S,SA,SA.S,D,D.S,BS,BA,TOT,B.S,PTS,Photo
Henielys Ramos,Chestnut Hill College,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,https://stats.ncaa.org/player/index?game_sport_year_ctl_id=14942&org_id=21323&stats_player_seq=2251647,102,27,220,2.16,86,595,0.225,535,5.25,34,0.33,259,2.54,1,19,20,0.2,264.5,Chestnut Hill College Athletics
Heliceliz Rivera,Frontier Community College,Illinois,NJCAA Region 24,NJCAA DII,https://www.njcaa.org/sports/wvball/2019-20/div2/teams/frontiercommunitycollege?view=lineup,136,36,312,2.29,124,982,0.191,446,3.28,44,0.32,310,2.28,36,16,52,0.38,400,FCC Bobcats Athletics
