Player,Year,Position,Height,Major,Major_Category,Link,Hometown,High_School,High_School_in_PR,Institution,State,Institution_Link,Conference,Division
Kizzy Rodríguez,Jr.,L,5-4,Health Promotion and Sciences,Health and Medicine,https://sfcathletics.com/sports/womens-volleyball/roster/kizzy-rodriguez/3676,Luquillo,Shadow Ridge High School,N,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA DI
Ivana Marrero,Fr.,S,5-7,,,https://sfcathletics.com/sports/womens-volleyball/roster/ivana-marrero/3684,Dorado,New Dimensions,N,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA DI
Génesis Soto,Jr.,DS/L,5-2,,,https://sfcathletics.com/sports/womens-volleyball/roster/genesis-soto/3681,Trujillo Alto,Grace Christian School,N,St. Francis College,New York,https://sfcathletics.com/index.aspx?path=vball,Northeast Conference,NCAA DI
Kelly Negrón,Fr.,S,5-7,,,https://ucirvinesports.com/sports/womens-volleyball/roster/kelly-negron/4580,Arecibo,Trabuco Hills High School,N,University of California Irvine,California,https://ucirvinesports.com/index.aspx?path=wvball,Big West Conference,NCAA DI
Alejandra Rodríguez,Sr.,L,5-4,Business management,Business,https://gobobcats.com/sports/womens-volleyball/roster/alejandra-rodriguez/8089,Toa Alta,Divine Savior,N,Quinnipiac University,Connecticut,https://gobobcats.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Nashally Eleutiza,Jr.,DS,5-8,Allied Health,Health and Medicine,https://gojaspers.com/sports/womens-volleyball/roster/nashally-eleutiza/7192,,Cypress Creek H.S.,N,Manhattan College,New York,https://gojaspers.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Stephanie Rivera,So.,MH,5-11,Undeclared,,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/stephanie-rivera/3097,Guayama,Saint Patrick's Bilingual School,Y,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Alanis Alvarado,So.,OH,5-11,Nursing,Health and Medicine,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/alanis-alvarado/3090,Bayamón,Hudson Catholic,N,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Yaidelis López Jiménez,Jr.,DS/L,5-0,Biology,S.T.E.M.,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/yaidelis-lopez-jimenez/3095,Caguas,Colegio Bautista de Caguas,Y,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Karla Seda,Jr.,L,5-2,Biology,S.T.E.M.,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/karla-seda/3099,Toa Baja,University Gardens High School,Y,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Wildalys Soto,Jr.,S,5-10,Biology,S.T.E.M.,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/wildalys-soto/3100,Patillas,Saint Patrick's Bilingual School,Y,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Angeleyshka Curbelo,So.,OH,6-0,Education,Social Sciences,https://saintpeterspeacocks.com/sports/womens-volleyball/roster/angeleyshka-curbelo/3091,Carolina,Colegio Santa Gema,Y,Saint Peter's University,New Jersey,https://saintpeterspeacocks.com/index.aspx?path=wvball,Metro Atlantic Athletic Conference,NCAA DI
Paulina Pérez Rosas,So.,OH,6-0,Sports Science,Health and Medicine,https://ucfknights.com/sports/womens-volleyball/roster/paulina-perez-rosas/8086,Guánica,Colegio San Benito,Y,University of Central Florida,Florida,https://ucfknights.com/index.aspx?path=wvball,American Athletic Conference,NCAA DI
Fabiola Rivas,Sr.,DS,5-5,Health Sciences,Health and Medicine,https://ucfknights.com/sports/womens-volleyball/roster/faby-ribas/10632,San Juan,Dr. Phillips High School,N,University of Central Florida,Florida,https://ucfknights.com/index.aspx?path=wvball,American Athletic Conference,NCAA DI
Jaylibeth García,Fr.,MB,6-1,,,https://ecupirates.com/sports/womens-volleyball/roster/jaylibeth-garcia/10459,Toa Baja,Bayamón Military Academy,Y,East Carolina University,North Carolina,https://ecupirates.com/index.aspx?path=wvball,American Athletic Conference,NCAA DI
Alejandra Pérez,Jr.,OH,5-8,Chemistry,S.T.E.M.,https://gohatters.com/sports/womens-volleyball/roster/alejandra-perez/7344,Ponce,Colegio del Sagrado Corazón de Jesús,Y,Stetson University,Florida,https://gohatters.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Rocío Moro,Fr.,DS/L,5-5,Nursing,Health and Medicine,https://unfospreys.com/roster.aspx?rp_id=9611&path=wvball,San Juan,Escuela del Deporte de San Juan,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Solimar Cestero,So.,OH,6-0,Undecided,,https://unfospreys.com/roster.aspx?rp_id=9600&path=wvball,Toa Baja,Colegio De La Salle,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Charyari Ramos,So.,OH/S,5-11,Accounting,Business,https://unfospreys.com/roster.aspx?rp_id=9605&path=wvball,Ponce,Colegio del Sagrado Corazón de Jesús,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Angelie Rosario,Fr.,DS,5-7,Psychology,Social Sciences,https://unfospreys.com/roster.aspx?rp_id=9615&path=wvball,Bayamón,Colegio Marista,Y,University of North Florida,Florida,https://unfospreys.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Mariana Trujillo,Fr.,S,5-9,Psychology,Social Sciences,https://roarlions.com/sports/womens-volleyball/roster/mariana-trujillo/1763,Guayanilla,Colegio del Sagrado Corazón de Jesús,Y,University of North Alabama,Alabama,https://roarlions.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Alahna Díaz,Sr.,L,5-4,Biology,S.T.E.M.,https://www.njithighlanders.com/sports/womens-volleyball/roster/alahna-diaz/6295,Carolina,Academia María Reina,Y,New Jersey Institute of Technology,New Jersey,https://www.njithighlanders.com/index.aspx?path=wvball,Atlantic Sun Conference,NCAA DI
Katerina Rocafort,Sr.,S,5-8,Biology,S.T.E.M.,https://mgoblue.com/sports/womens-volleyball/roster/katerina-rocafort/18973,San Juan,Academia María Reina,Y,University of Michigan,Michigan,https://mgoblue.com/index.aspx?path=wvball,Big Ten Conference,NCAA DI
Cecilia Rocafort,Fr.,S,5-8,Chemistry,S.T.E.M.,https://ohiostatebuckeyes.com/sports/w-volley/roster/season/2020-21/cecilia-rocafort/,San Juan,Academia María Reina,Y,Ohio State University,Ohio,https://ohiostatebuckeyes.com/sports/w-volley/,Big Ten Conference,NCAA DI
Sharlissa de Jesús,Jr.,OH,5-9,Business Administration,Business,https://citadelsports.com/sports/womens-volleyball/roster/sharlissa-de-jesus/6665,Guayama,Guamaní Private School,Y,The Citadel,South Carolina,https://citadelsports.com/index.aspx?path=wvball,Southern Conference,NCAA DI
Paola Santiago,So.,OH,5-9,Pre-physical therapy,Health and Medicine,https://uicflames.com/sports/womens-volleyball/roster/paola-santiago/6283,San Juan,Colegio Católico Notre Dame,Y, University of Illinois at Chicago,Illinois,https://uicflames.com/index.aspx?path=wvball,Horizon League,NCAA DI
