Player,Number_of_matches
Kiana Pérez,6
Seliann Concepción,6
Victoria Alomar,5
Paola Beníquez,5
Biancaliz Cruz,4
Katherine Rodríguez,4
Alejandra Delgado,4
Viamca Vital,3
Alondra García,3
Keishla Reyes,2
Melanie Orsini,2
