Section,Filename,Python Script,R Script,Num_pages
National tournaments,National_tournaments.sla,National_tournaments.py,,10
National tournaments - List,National_tournaments_list.sla,National_tournaments_list.py,,2
Outstanding matches - Cover,Outstanding_matches_cover.sla,Outstanding_matches_cover.py,,1
Outstanding matches,Outstanding_matches.sla,Outstanding_matches.py,,4
Outstanding matches - List,Outstanding_matches_list.sla,Outstanding_matches_list.py,,1
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
