Player,Number_of_matches
Karina Lozada,6
Karla Seda,6
Melanie Orsini,4
Lina Bernier,3
Rocío Moro,3
Celymar Cabranes,3
Fabianne Besosa,3
Keisha Santana,2
Kizzy Rodríguez,2
Nashally Eleutiza,2
Junelly Marrero,2
Neyshlian Román,2
Alejandra Delgado,2
Natalia Vega,2
Stephanie Sánchez,1
Yorelis Ríos,1
Keishla Reyes,1
Laura Rojas,1
Alejandra Rodríguez,1
Seliann Concepción,1
