Player,Institution,State,Conference,Division,Stat_link,M,S,K,K/S,E,TA,Hit_Pct,A,A/S,SA,SA/S,D,D/S,BS,BA,TOT,B/S,PTS
Kelly Rosario,Cisco College,Texas,NJCAA Region 5,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/ciscocollege?view=lineup,21,41,4,0.10,0,11,0.364,139,3.39,21,0.51,54,1.32,0,0,0,0.00,25.0
Alondra Cruz,Clarendon College,Texas,NJCAA Region 5,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/clarendoncollege?view=lineup,,,,,,,,,,,,,,,,,,0.0
Yadenis Marzán,Clarendon College,Texas,NJCAA Region 5,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/clarendoncollege?view=lineup,30,110,36,0.33,2,52,0.654,458,4.16,44,0.40,230,2.09,0,2,2,0.02,81.0
Nadiushka Conde,Clarendon College,Texas,NJCAA Region 5,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/clarendoncollege?view=lineup,,,,,,,,,,,,,,,,,,0.0
Coralys Maldonado,New Mexico Military Institute,New Mexico,NJCAA Region 5,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/newmexicomilitaryinstitute?view=lineup,15,24,24,1.00,10,64,0.219,1,0.04,0,0.00,12,0.50,0,8,8,0.33,28.0
Gabriela Boyrie,Vernon College,Texas,NJCAA Region 5,NJCAA DI,,,,,,,,,,,,,,,,,,,0.0
Yuleishka Hernández,Colby Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/colbycommunitycollege?view=lineup,6,16,0,0.00,1,1,-1,1,0.06,7,0.44,11,0.69,0,0,0,0.00,7.0
Karleeann Ramos,Colby Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/colbycommunitycollege?view=lineup,31,114,332,2.91,177,939,0.165,27,0.24,40,0.35,342,3.00,2,21,23,0.20,384.5
Wilani Velázquez,Dodge City Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/dodgecitycommunitycollege?view=lineup,17,30,4,0.13,1,21,0.143,152,5.07,4,0.13,58,1.93,0,0,0,0.00,8.0
Zulairam de Jesús,Dodge City Community College,Kansas,Kansas Jayhawk Community College Conference,NJCAA DI,https://stats.njcaa.org/sports/wvball/2019-20/div1/teams/dodgecitycommunitycollege?view=lineup,15,34,31,0.91,20,130,0.085,3,0.09,5,0.15,51,1.50,2,3,5,0.15,39.5
