Institution,PlayerCount
Elms College,6
Clark University,2
Eastern Connecticut State University,2
Manhattanville College,2
Benedictine University,1
Berea College,1
Catholic University of America,1
Dickinson College,1
Emerson College,1
Goucher College,1
