Atleta,Institución,Pueblo,Liga,División,Foto
Aleiehs Maldonado (PUCPR) & Khris Justiniano & María López,P.U.C.P.R. (Ponce) | R.U.M. (Mayagüez),,Liga Atlética Interuniversitaria,,Liga Atlética Interuniversitaria
Aleiehs Maldonado (PUCPR) & Alejandra Argüello & Nydiaris Burgos,P.U.C.P.R. (Ponce) | U.A.G.M. (San Juan),,Liga Atlética Interuniversitaria,,Liga Atlética Interuniversitaria
Joyce_Lugo & Aleiehs Maldonado & Alejandra Argüello (UAGM),P.U.C.P.R. (Ponce) | U.A.G.M. (San Juan),,Liga Atlética Interuniversitaria,,Liga Atlética Interuniversitaria
Adriana de la Cruz,Pontificia Universidad Católica,Ponce,Liga Atlética Interuniversitaria,,Deporte Pionero
Alejandra Reyes,Pontificia Universidad Católica,Ponce,Liga Atlética Interuniversitaria,,Deporte Pionero
Ariana Laboy,Pontificia Universidad Católica,Ponce,Liga Atlética Interuniversitaria,,Deporte Pionero
Elayna Ojeda,Pontificia Universidad Católica,Ponce,Liga Atlética Interuniversitaria,,Deporte Pionero
Joansy Jones,Pontificia Universidad Católica,Ponce,Liga Atlética Interuniversitaria,,Deporte Pionero
