Atleta,Institución,Pueblo,Liga,División,Foto
Alexandra Torres,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Génesis González,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Génesis González,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Kiara Navarro,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
María Gómez,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Mariela Resto,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Paula Muñiz,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
Saelis Báez,Universidad del Sagrado Corazón,San Juan,Liga Atlética Interuniversitaria,,Deportes Sagrado
