Institution,PlayerCount
Saint Peter's University,6
St. Francis College,4
Tennessee State University,4
University of Evansville,4
University of North Florida,4
University of Missouri,3
Coppin State University,2
Delaware State University,2
Florida International University,2
University of Central Florida,2
