Institution,PlayerCount
Concordia College New York,6
American International College,4
Georgian Court University,4
Mercy College,4
California State University Los Angeles,3
Assumption College,2
Chestnut Hill College,2
Salem University,2
Savannah State University,2
University of Tampa,2
