Atleta,Institución,Pueblo,Liga,División,Foto
Andrea_Báez,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Cynthia Rudón,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Kisarah Hernández,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Paola Pamias,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Roselyn Vega,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Waleska Suárez,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Yeimily Román,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
Zoranil Muñoz,Universidad Interamericana,San Germán,Liga Atlética Interuniversitaria,,Inter Deportes
