Player,Institution,State,Conference,Division,Major,Min_GPA,Award,Announcement,Announcement_Date
Sheila Villagrasa,Florida Technical College,Florida,Sunshine State Conference,NCAA DII,Applied Behavior Analysis,3.20,Commissioner's Honor Roll,https://sunshinestateconference.com/sports/2015/7/24/GEN_0724150139.aspx,11/26/19
Anixa Rosa Martínez,Chowan University,North Carolina,Conference Carolinas,NCAA DII,,,Presidential Honor Roll,https://gocuhawks.com/news/2020/1/17/mens-soccer-131-student-athletes-named-to-confcarolinas-fall-honor-roll.aspx,1/17/20
Camila Rabassa,Concordia College New York,New York,Central Atlantic Collegiate Conference,NCAA DII,Biology,3.50,All-Academic Team,https://www.caccathletics.org/sports/wvball/2019-20/releases/1126Acad,11/26/19
Nilka Rivera,Concordia College New York,New York,Central Atlantic Collegiate Conference,NCAA DII,Biology,3.50,All-Academic Team,https://www.caccathletics.org/sports/wvball/2019-20/releases/1126Acad,11/26/19
Paula Céspedes,Georgian Court University,New Jersey,Central Atlantic Collegiate Conference,NCAA DII,Psychology/Education,3.50,All-Academic Team,https://www.caccathletics.org/sports/wvball/2019-20/releases/1126Acad,11/26/19
Natalia García,Mercy College,New York,East Coast Conference,NCAA DII,Health Science,3.25,Commissioner's Honor Roll,https://www.eccsports.org/information/general-news/2019-20/2019-20_Commissioners_HR.pdf,9/10/20
Nichole Rivera,Mercy College,New York,East Coast Conference,NCAA DII,Biology / Pre-Med,3.25,Commissioner's Honor Roll,https://www.eccsports.org/information/general-news/2019-20/2019-20_Commissioners_HR.pdf,9/10/20
Valeria Torres,Gannon University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,Pre-Veterinary,3.25,Scholar Athlete,https://psacsports.org/news/2020/6/22/general-psac-impresses-with-new-scholar-athlete-record-of-3-762.aspx,6/22/20
Vaneris Fuentes,Seton Hill University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,,3.25,Scholar Athlete,https://psacsports.org/news/2020/6/22/general-psac-impresses-with-new-scholar-athlete-record-of-3-762.aspx,6/22/20
Milleysha Molina Otero,Shepherd University,Pennsylvania,Pennsylvania State Athletic Conference,NCAA DII,Health Promotion,3.25,Scholar Athlete,https://psacsports.org/news/2020/6/22/general-psac-impresses-with-new-scholar-athlete-record-of-3-762.aspx,6/22/20
