Date,Opponent,Outcome,S,K,E,TA,Hitting_Pctg,A,SA,SE,RE,D,BS,BA,BE,TB,BHE,PTS
8/24/2018,"at Concordia, Irvine",L,4,15,8,45,0.156,1,0,0,1,10,0,0,0,0,0,15
8/24/2018,vs APU,L,3,5,6,23,-0.043,0,0,3,0,8,0,0,1,0,0,5
8/25/2018,vs Cal Poly Pomona,L,3,1,9,18,-0.444,2,0,1,1,4,0,1,0,1,0,1.5
8/25/2018,vs Cal State LA,L,3,10,1,29,0.31,0,1,1,2,5,0,0,1,0,0,11
8/29/2018,at POST,W,4,16,2,35,0.4,0,1,4,3,10,0,0,0,0,0,17
09/01/2018,at Chestnut Hill Coll.,W,4,14,2,35,0.343,0,2,1,3,9,1,1,0,2,0,17.5
09/01/2018,vs Mercy College,W,4,15,1,30,0.467,2,0,0,0,10,1,1,0,2,0,16.5
09/07/2018,vs Holy Family,L,4,14,6,56,0.143,1,0,3,3,12,0,2,1,2,0,15
09/07/2018,at Wilmington (DE),L,4,15,10,51,0.098,0,2,3,0,11,0,0,0,0,0,17
09/08/2018,vs Jefferson,W,3,7,8,42,-0.024,0,3,2,1,8,0,2,0,2,0,11
09/08/2018,vs Chestnut Hill Coll.,W,4,12,3,39,0.231,0,1,0,0,5,0,0,0,0,0,13
9/11/2018,Stonehill,W,3,20,5,36,0.417,0,2,1,1,7,0,1,0,1,0,22.5
9/14/2018,at New Haven,L,4,8,13,49,-0.102,1,2,3,1,13,0,1,0,1,0,10.5
9/18/2018,at PACE,L,3,10,10,45,0,0,0,0,1,11,0,0,1,0,0,10
9/25/2018,Saint Anselm,W,3,11,5,31,0.194,0,5,1,0,12,0,0,0,0,0,16
9/25/2018,at Bentley,W,3,10,1,25,0.36,0,2,0,0,8,0,0,0,0,0,12
9/29/2018,at Adelphi,W,4,11,7,47,0.085,1,0,2,1,12,0,1,0,1,0,11.5
10/02/2018,at Franklin Pierce,W,5,19,5,52,0.269,1,2,2,2,12,0,2,1,2,0,22
10/05/2018,at Caldwell,W,4,13,3,31,0.323,0,1,2,0,7,0,0,0,0,0,14
10/09/2018,Southern Connecticut,W,3,7,5,27,0.074,1,0,2,1,16,0,2,0,2,1,8
10/11/2018,Bridgeport,W,3,10,7,27,0.111,0,2,2,0,4,0,1,0,1,0,12.5
10/14/2018,vs Bentley,W,3,15,4,36,0.306,0,3,0,2,14,0,1,0,1,0,18.5
10/14/2018,at LIU Post,L,5,9,6,37,0.081,0,0,0,4,8,0,2,1,2,0,10
10/16/2018,at Le Moyne,W,4,20,2,43,0.419,3,2,2,3,15,0,1,0,1,0,22.5
10/19/2018,Southern N.H.,L,5,15,11,47,0.085,0,3,2,2,14,0,2,0,2,0,19
10/23/2018,Saint Rose,W,3,11,2,31,0.29,0,0,1,0,5,0,0,0,0,0,11
10/27/2018,at Saint Michael's,W,3,11,3,30,0.267,1,3,2,1,11,0,1,0,1,0,14.5
10/30/2018,Assumption,W,4,21,5,37,0.432,0,3,1,1,6,0,1,0,1,0,24.5
11/03/2018,Merrimack,W,3,15,6,30,0.3,0,2,1,1,7,0,1,0,1,0,17.5
11/06/2018,PACE,W,4,13,5,39,0.205,0,1,5,1,15,0,2,0,2,0,15
11/09/2018,at Adelphi,W,5,14,7,42,0.167,0,0,2,2,14,0,2,0,2,0,15
11/10/2018,vs Southern Conn. State,L,3,11,2,23,0.391,1,0,1,4,7,0,0,0,0,0,11
11/14/2018,vs Daemen,W,3,10,2,26,0.308,0,5,1,0,6,0,0,0,0,0,15
11/16/2018,at Adelphi,W,4,18,8,53,0.189,2,1,2,1,16,0,1,0,1,0,19.5
11/17/2018,vs Holy Family,W,3,10,1,30,0.3,0,0,1,1,11,0,1,0,1,0,10.5
11/29/2018,vs Tampa,L,3,9,7,35,0.057,0,3,1,1,3,0,1,0,1,0,12.5
