Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Kelly Rosario,So.,S,,,https://www.wranglersports.net/sports/wvball/2019-20/bios/rosario_kelly_3p67?view=profile,San Juan,,Cisco College,Texas,https://www.wranglersports.net/sports/wvball/index,Region 5,NJCAA D-I
Alondra Cruz,Fr.,S,5-5,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30730,Toa Baja,,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,Region 5,NJCAA D-I
Yadenis Marzán,Fr.,S,5-5,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30731,Dorado,Academia Santa Teresita,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,Region 5,NJCAA D-I
Nadiushka Conde,Fr.,DS,5-2,,https://athletics.clarendoncollege.edu/PreviewPlayer.aspx?ID=30734,Carolina,,Clarendon College,Texas,https://athletics.clarendoncollege.edu/Volleyball,Region 5,NJCAA D-I
Coralys Maldonado,So.,M/Opp,5-8,,https://www.nmmiathletics.com/sports/wvball/2019-20/bios/maldonado_coralys_ygxj?view=profile,Camuy,Colegio Capitán Correa,New Mexico Military Institute,New Mexico,https://www.nmmiathletics.com/sports/wvball/index,Region 5,NJCAA D-I
Gabriela Boyrie,So.,DS,5-6,,https://www.vernoncollege.edu/PreviewPlayer.aspx?ID=239,Juana Díaz,,Vernon College,Texas,http://www.vernoncollege.edu/volleyballhomepage,Region 5,NJCAA D-I
Yuleishka Hernández,Fr.,DS/L,5-3,,https://www.colbytrojans.com/sports/wvball/2019-20/bios/hernandez-yuleishka?view=bio,San Sebastián,,Colby Community College,Kansas,https://www.colbytrojans.com/sports/wvball/index,Region 6,NJCAA D-I
Karleeann Ramos,Jr.,OH,5-8,,https://www.colbytrojans.com/sports/wvball/2019-20/bios/ramos_karleeann_efh8?view=bio,Aguas Buenas,,Colby Community College,Kansas,https://www.colbytrojans.com/sports/wvball/index,Region 6,NJCAA D-I
Wilani Velázquez,Fr.,S,5-3,,https://goconqs.com/roster.aspx?rp_id=3432&path=wvball,Carolina,Colegio Santa Gema,Dodge City Community College,Kansas,https://goconqs.com/index.aspx?path=wvball,Region 6,NJCAA D-I
Zulairam de Jesús,Fr.,Opp,5-6,,https://goconqs.com/roster.aspx?rp_id=3435&path=wvball,Carolina,Colegio Santa Gema,Dodge City Community College,Kansas,https://goconqs.com/index.aspx?path=wvball,Region 6,NJCAA D-I
Dorianne Lebrón,So.,MB,6-1,,https://sewardsaints.com/sports/wvball/2019-20/bios/lebron_dorianne_b8k5?view=bio,Guayama,Guamaní Private School,Seward County Community College,Kansas,https://sewardsaints.com/sports/wvball/index,Region 6,NJCAA D-I
