Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Gregna Fuentes,So.,S,5-4,Education,http://www.montreatcavaliers.com/roster/42/5/5685.php,San Juan,,Montreat College,North Carolina,http://www.montreatcavaliers.com/sport/0/5,Appalachian Athletic Conference,NAIA
Katirya Hernández Martínez,So.,DS,5-6,Education,http://www.sauknights.com/sport/volleyball/roster/katirya-hernandez-martinez,Toa Alta,Wagner High School,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Adriana Santiago,So.,S,5-3,Business Administration,http://www.sauknights.com/sport/volleyball/roster/adriana-santiago,Cabo Rojo,St. Augustin High School,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Karina Lozada,Jr.,DS/L,5-0,Biology,http://www.sauknights.com/sport/volleyball/roster/karina-lozada,Bayamón,Emadrian Bilingual School,St. Andrews University,North Carolina,http://www.sauknights.com/sport/volleyball,Appalachian Athletic Conference,NAIA
Stephanie Sánchez,So.,L,5-3,Biomedicine,https://kuseahawks.com/sports/womens-volleyball/roster/stephanie-sanchez/3625,San Juan,Colegio La Piedad,Keiser University,Florida,https://kuseahawks.com/index.aspx?path=wvball,The Sun Conference,NAIA
Gardieliz Laureano Andújar,Jr.,S,5-6,Psychology,http://www.coastalgeorgiasports.com/roster/18/10/1596.php,Corozal,East Bay High School,College of Coastal Georgia,Georgia,http://www.coastalgeorgiasports.com/sport/0/10,The Sun Conference,NAIA
Yorelis Ríos González,Sr.,L,5-3,,http://www.coastalgeorgiasports.com/roster/17/10/1368.php,Barranquitas,Academia Santa Teresita,College of Coastal Georgia,Georgia,http://www.coastalgeorgiasports.com/sport/0/10,The Sun Conference,NAIA
Keisha Santana Roldán,Jr.,L,5-0,Early Childhood Education,https://fmuathletics.com/roster.aspx?rp_id=1324&path=wvball,Juncos,Escuela Isabel Flores Hernández,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Adriana Soto,Fr.,OH/RSH,,,https://fmuathletics.com/roster.aspx?rp_id=1325&path=wvball,Guaynabo,Christian Military Academy,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Biancaliz Cruz,Fr.,OH/RSH,5-11,Biology,https://fmuathletics.com/roster.aspx?rp_id=1326&path=wvball,Caguas,Colegio Radians,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Francheska Rivera,Jr.,S,,Biology,https://fmuathletics.com/roster.aspx?rp_id=1322&path=wvball,San Juan,Escuela De Los Deportes,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Jesennia Bonilla,Jr.,Opp,5-9,Biology,https://fmuathletics.com/roster.aspx?rp_id=1317&path=wvball,Ceiba,Colegio Hector Urdaneta,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Marianne Negrón,Fr.,MB,,Social Work,https://fmuathletics.com/roster.aspx?rp_id=1329&path=wvball,Loíza,Saint Francis School,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
Sammyra Albarrán,Jr.,OH,5-7,Education,https://fmuathletics.com/roster.aspx?rp_id=1318&path=wvball,San Germán,Academia Inmaculada Concepción,Florida Memorial University,Florida,https://fmuathletics.com/index.aspx?path=wvball,The Sun Conference,NAIA
