Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Ariana Pagán,Fr.,OH,5-10,Chemistry,https://sfajacks.com/sports/womens-volleyball/roster/ariana-pagan/2554,Isabela,Freidrich Froebel Bilingual School,Stephen F. Austin State University,Texas,https://sfajacks.com/index.aspx?path=wvball,Southland Conference,NCAA D-I
Yelianiz Torres,Fr.,OH,5-7,Psychology,https://bgsufalcons.com/sports/womens-volleyball/roster/yelianiz-torres/7597,Vega Baja,Piaget Bilingual Academy,Bowling Green State University,Ohio,https://bgsufalcons.com/index.aspx?path=wvball,Mid-American Conference,NCAA D-I
Amanda Rullán Villanova,Jr.,OH,5-10,Accounting,https://niuhuskies.com/sports/womens-volleyball/roster/amanda-rullan-vilanova/6545,Bayamón,Academia Discípulos de Cristo,Northern Illinois University,Illinois,https://niuhuskies.com/index.aspx?path=wvball,Mid-American Conference,NCAA D-I
Paula Cerame,Jr.,DS/L,5-8,Social & Behavioral Sciences,https://floridagators.com/sports/womens-volleyball/roster/paula-cerame/13507,San Juan,St. Thomas Aquinas,University of Florida,Florida,https://floridagators.com/index.aspx?path=volleyball,Southeastern Conference,NCAA D-I
Andrea Fuentes,So.,S,5-9,Biology,https://mutigers.com/sports/womens-volleyball/roster/andrea-fuentes/7876,San Juan,Baldwin School of Puerto Rico,University of Missouri,Missouri,https://mutigers.com/index.aspx?path=wvball,Southeastern Conference,NCAA D-I
Dariana Hollingsworth Santana,Jr.,OH / RSH,6-1,Biology,https://mutigers.com/sports/womens-volleyball/roster/dariana-hollingsworth-santana/7877,San Juan,Colegio Adianez,University of Missouri,Missouri,https://mutigers.com/index.aspx?path=wvball,Southeastern Conference,NCAA D-I
Leandra Mangual Durán,Fr.,OH,6-0,Biomedical Engineering,https://mutigers.com/sports/womens-volleyball/roster/leandra-mangual-duran/7878,Río Grande,Hagerty,University of Missouri,Missouri,https://mutigers.com/index.aspx?path=wvball,Southeastern Conference,NCAA D-I
Camilla Covas,Fr.,DS,5-6,International Business,https://gamecocksonline.com/sports/womens-volleyball/roster/camilla-covas/6444,San Juan,Academia María Reina,University of South Carolina,South Carolina,https://gamecocksonline.com/index.aspx?path=wvball,Southeastern Conference,NCAA D-I
Lina Bernier,Sr.,DS/L,5-11,Biomedical Engineering,https://fiusports.com/sports/womens-volleyball/roster/lina-bernier/7406,San Juan,Colegio San Antonio,Florida International University,Florida,https://fiusports.com/index.aspx?path=wvball,Conference USA,NCAA D-I
Fabiola Plaza,Sr.,DS/S,5-6,,https://fiusports.com/sports/womens-volleyball/roster/fabiola-plaza/7426,Ponce,Felix Varela,Florida International University,Florida,https://fiusports.com/index.aspx?path=wvball,Conference USA,NCAA D-I
Gina Rivera Ortiz,So.,L,5-6,Health Sciences,http://www.tsutigers.com/volleyball/roster/2019-20/7494/gina-rivera-ortiz/,Lajas,Colegio San Benito,Tennessee State University,Tennessee,http://www.tsutigers.com/volleyball/,Ohio Valley Conference,NCAA D-I
Kariely Santana Delgado,Jr.,OH,5-10,Psychology,http://www.tsutigers.com/volleyball/roster/2019-20/7499/kariely-santana-delgado/,Caguas,,Tennessee State University,Tennessee,http://www.tsutigers.com/volleyball/,Ohio Valley Conference,NCAA D-I
Sofía García Guerrios,Fr.,S,5-10,Pre-Veterinary Sciences,http://www.tsutigers.com/volleyball/roster/2019-20/7501/sofia-garcia-guerrios/,Manatí,Colegio Marista Manatí,Tennessee State University,Tennessee,http://www.tsutigers.com/volleyball/,Ohio Valley Conference,NCAA D-I
Alondrah Santana Rodríguez,Fr.,MB,6-1,Pre-Veterinary Sciences,http://www.tsutigers.com/volleyball/roster/2019-20/7504/alondrah-santana-rodriguez/,Toa Baja,Academia Discípulos de Cristo,Tennessee State University,Tennessee,http://www.tsutigers.com/volleyball/,Ohio Valley Conference,NCAA D-I
Jennevy Santos,Jr.,L,5-4,Cyber security,https://morganstatebears.com/sports/womens-volleyball/roster/jennevy-santos/5903,Bayamón,Osceola High School,Morgan State University,Maryland,https://morganstatebears.com/index.aspx?path=vball,Mid-Eastern Athletic Conference,NCAA D-I
Ashley Román,Fr.,DS/L,5-5,,https://coppinstatesports.com/sports/womens-volleyball/roster/ashley-roman/2355,Isabela,Caribbean School,Coppin State University,Maryland,https://coppinstatesports.com/index.aspx?path=wvball,Mid-Eastern Athletic Conference,NCAA D-I
Salma González,Jr.,S/OH,5-8,Biology,https://coppinstatesports.com/sports/womens-volleyball/roster/salma-gonzalez/2356,Isabela,West Port HS,Coppin State University,Maryland,https://coppinstatesports.com/index.aspx?path=wvball,Mid-Eastern Athletic Conference,NCAA D-I
