Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Carolina Robles,So.,OH,5-11,,https://bereaathletics.prestosports.com/sports/wvball/2019-20/bios/robles_carolina_v9s1,Guaynabo,Wesleyan Academy,Berea College,Kentucky,https://bereaathletics.prestosports.com/sports/wvball/index,USA South Athletic Conference,NCAA D-III
Luinet Meléndez,So.,DS/L,5-5,Biology/Pre-Med,https://www.goregispride.com/sports/wvball/2019-20/bios/melendez_luinet_nxrv?view=bio,Ponce,Colegio Ponceño,Regis College,Massachusetts,https://www.goregispride.com/sports/wvball/index,Great Northeast Athletic Conference,NCAA D-III
Kiana Pérez Díaz,So.,OH,5-9,Communications,https://laserpride.lasell.edu/sports/wvball/2019-20/bios/perez_kiana_yf9m?view=profile,Juncos,Colegio Católico Notre Dame,Lasell University,Massachusetts,https://laserpride.lasell.edu/sports/wvball/index,Great Northeast Athletic Conference,NCAA D-III
Natalia Rabassa,Fr.,L,5-1,,http://usjbluejays.com/sports/wvball/2019-20/bios/rabassa_natalia_e5aq?view=profile,Juana Díaz,Colegio Ponceño,University of Saint Joseph's,Connecticut,http://usjbluejays.com/sports/wvball/index,Great Northeast Athletic Conference,NCAA D-III
Fabiola Meléndez Rivera,So.,DS,5-3,,https://hoodathletics.com/sports/womens-volleyball/roster/fabiola-melendez-rivera/5058,Toa Alta,Academia Santo Tomás de Aquino,Hood College,Maryland,https://www.hoodathletics.com/sports/wvball/index,MAC Commonwealth Conference,NCAA D-III
Natalie Figueroa,Jr.,OH,5-7,,https://benueagles.com/sports/womens-volleyball/roster/natalie-figueroa/10706,Corozal,Christian Military Academy,Benedictine University,Illinois,https://benueagles.com/sports/womens-volleyball,Northern Athletics Collegiate Conference,NCAA D-III
Natalia Ortiz,So.,DS/L,5-0,Mechanical Engineering,https://www.bantamsports.com/sports/wvball/2019-20/bios/ORTIZ_NATALIA?view=bio,Bayamón,Academia Santo Tomás de Aquino,Trinity College,Connecticut,https://www.bantamsports.com/sports/wvball/index,New England Small College Athletic Conference,NCAA D-III
Andrea Méndez,Fr.,DS,5-5,Communication Studies,https://www.emersonlions.com/sports/wvball/2019-20/bios/mendez_andrea_um2t?view=profile,Toa Alta,Colegio de La Salle,Emerson College,Massachusetts,https://www.emersonlions.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA D-III
Anagabrielle Sánchez,Sr.,L,5-6,Criminal Justice,https://springfieldcollegepride.com/sports/wvball/2019-20/bios/sanchez_anagabrielle_l4dj,Caguas,Adler College,Springfield College,Massachusetts,https://springfieldcollegepride.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA D-III
Margarita Pérez Maza,So.,OH,5-7,Business Management,https://www.clarkathletics.com/sports/wvball/2019-20/bios/perez-maza_margarita_7kid?view=bio,Guaynabo,Cupeyville School,Clark University,Massachusetts,https://www.clarkathletics.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA D-III
