Player,Year,Position,Height,Major,Link,Hometown,High_School,Institution,State,Institution_Link,Conference,Division
Claudia Rivera,Fr.,OH,5-10,Biology,https://www.clarkathletics.com/sports/wvball/2019-20/bios/rivera_claudia_1kwn?view=bio,Guaynabo,Academia María Park,Clark University,Massachusetts,https://www.clarkathletics.com/sports/wvball/index,New England Women's and Men's Athletic Conference,NCAA D-III
Freysha Rivera,Jr.,RSH/OH,5-6,Criminology,https://johnjayathletics.com/sports/womens-volleyball/roster/freysha-rivera/2902,Toa Baja,South Plainfield,John Jay College,New York,https://johnjayathletics.com/sports/womens-volleyball,City University of New York Athletic Conference,NCAA D-III
Noshka González Sánchez,So.,,5-5,,https://mecathletics.com/sports/womens-volleyball/roster/noshka-gonzalez-sanchez/2294,San Juan,East Harlem Renaissance,Medgar Evers College,New York,https://mecathletics.com/index.aspx?path=wvball,City University of New York Athletic Conference,NCAA D-III
Jaylianne Ramos,So.,OH/Opp,5-6,Biology,https://www.ecblazers.com/sports/wvball/2019-20/bios/ramos_jaylianne_9b3q?view=bio,Toa Alta,Saint John II Academy,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Kianna Lozada,So.,L,5-1,,https://www.ecblazers.com/sports/wvball/2019-20/bios/lozada_kianna_ajsw?view=bio,Bayamón,Emadrian Bilingual School,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Natalia Caraballo,Fr.,OH/MH,5-8,,https://www.ecblazers.com/sports/wvball/2019-20/bios/caraballo_natalia_b1d9?view=profile,Fajardo,Colegio Héctor Urdaneta,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Tatyana Medina,Jr.,DS/L,5-1,,https://www.ecblazers.com/sports/wvball/2018-19/bios/medina_tatyana_pbff?view=profile,,Central,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Alanys Cruz,So.,Opp,5-9,,https://www.ecblazers.com/sports/wvball/2019-20/bios/cruz_alanys_ltaa?view=profile,Humacao,,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Govanna Rosado,Jr.,S,5-6,,https://www.ecblazers.com/sports/wvball/2019-20/bios/rosado_govanna_n5vb?view=profile,Humacao,Colegio La Luz,Elms College,Massachusetts,https://www.ecblazers.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Danelys Báez Arroyo,Fr.,DS,5-1,,https://www.mitchellathletics.com/sports/wvball/2019-20/bios/baez-arroyo_nely_62lm,Guaynabo,Academy of Science & Innovation,Mitchell College,Connecticut,https://www.mitchellathletics.com/sports/wvball/index,New England Collegiate Conference,NCAA D-III
Marife Entenza,Fr.,S/DS,5-6,,http://vikings.lawrence.edu/sports/wvball/2019-20/bios/entenza_marife_3oip?view=profile,Guaynabo,Academia María Reina,Lawrence University,Wisconsin,http://vikings.lawrence.edu/sports/wvball/index,Midwest Conference,NCAA D-III
Ivanella Figueroa,Fr.,DS,5-1,Pharmacy,https://notredamegators.com/sports/womens-volleyball/roster/ivanella-figueroa/1192,Cidra,Colegio Radians,Notre Dame University of Maryland,Maryland,https://notredamegators.com/sports/womens-volleyball,Colonial States Athletic Conference,NCAA D-III
Tatiana López,Jr.,DS,5-5,,https://www.dickinsonathletics.com/sports/wvball/2019-20/bios/lopez_tatiana_6bl3?view=bio,Guaynabo,Colegio Puertorriqueño de Niñas,Dickinson College,Pennsylvania,https://www.dickinsonathletics.com/sports/wvball/index,Centennial Conference,NCAA D-III
Paula Pérez,Fr.,L/S,5-9,Business,https://www.gowarriorathletics.com/sports/wvball/2019-20/bios/perez_paula_r4ql?view=bio,Caguas,Colegio Católico Notre Dame,Eastern Connecticut State University,Connecticut,https://www.gowarriorathletics.com/sports/wvball/index,Little East Conference,NCAA D-III
Nayeli Cruz Martínez,Fr.,MH/RSH,5-8,Criminology,https://www.gowarriorathletics.com/sports/wvball/2019-20/bios/cruz_martinez_nayeli_wo04?view=bio,Toa Baja,Wilbur Cross,Eastern Connecticut State University,Connecticut,https://www.gowarriorathletics.com/sports/wvball/index,Little East Conference,NCAA D-III
Victoria Alomar,Jr.,OH/DS,5-7,Spanish,https://westconnathletics.com/sports/wvball/2019-20/bios/alomar_victoria_blu4?view=bio,Naranjito,Academia Santa Teresita,Western Connecticut State University,Connecticut,https://westconnathletics.com/sports/wvball/index,Little East Conference,NCAA D-III
Patricia Martínez,Jr.,OH,5-10,Engineering,https://www.catholicathletics.com/sports/wvball/2019-20/bios/martinez_patricia_5bsa?view=bio,Guaynabo,Colegio Puertorriqueño de Niñas,Catholic University of America,"Washington, D.C.",https://www.catholicathletics.com/sports/wvball/index,Landmark Conference,NCAA D-III
Nelisabel La Court Ruiz,So.,DS,5-3,Psychology,https://athletics.goucher.edu/sports/wvball/2019-20/bios/la_court_ruiz_nelisabel_1b33?view=bio,Ponce,Northeastern,Goucher College,Pennsylvania,https://athletics.goucher.edu/sports/wvball/index,Landmark Conference,NCAA D-III
Alenys Rivera Cotto,Fr.,DS,5-1,Pre-Science,http://www.wnegoldenbears.com/sports/wvball/2019-20/bios/rivera_cotto_alenys_f9wr?view=bio,,Springfield Central,Western New England University,Massachusetts,http://www.wnegoldenbears.com/sports/wvball/index,Commonwealth Coast Conference,NCAA D-III
Alejandra Figueroa,So.,OH,5-7,Marketing,https://govaliants.com/sports/womens-volleyball/roster/alejandra-figueroa/5187,Guaynabo,Colegio Rosa-Bell,Manhattanville College,New York,https://govaliants.com/index.aspx?path=wvball,Skyline Conference,NCAA D-III
Vianca Vital,Fr.,S,5-4,Marketing,https://govaliants.com/sports/womens-volleyball/roster/vianca-vital/5189,Carolina,Academia del Perpetuo Socorro,Manhattanville College,New York,https://govaliants.com/index.aspx?path=wvball,Skyline Conference,NCAA D-III
Paola Beníquez,Jr.,OH,5-7,Interior Design,https://goprattgo.com/sports/womens-volleyball/roster/paola-beniquez/1010,Carolina,Colegio Adianez,Pratt Institute,New York,https://goprattgo.com/sports/womens-volleyball,American Collegiate Athletic Association,NCAA D-III
María Pérez,Sr.,L,5-4,Vessel Operations Technology,https://www.marinersports.org/sports/wvball/2019-20/bios/perez_maria_qv3d?view=bio,San Juan,Colegio Nuestra Señora de Belén,Maine Maritime Academy,Maine,https://www.marinersports.org/sports/wvball/index,North Atlantic Conference,NCAA D-III
Alexa Rivera,Fr.,OH,5-8,Biology,https://rutgersnewarkathletics.com/roster.aspx?rp_id=3621,Luquillo,Hudson Catholic,Rutgers University - Newark,New Jersey,https://rutgersnewarkathletics.com/sports/womens-volleyball,New Jersey Athletic Conference,NCAA D-III
Yaidettive Vega,So.,OH/RSH,6-1,Criminal Justice,https://njcugothicknights.com/sports/womens-volleyball/roster/yaidettive-vega/3831,San Juan,Dickinson,New Jersey City University,New Jersey,https://njcugothicknights.com/index.aspx?path=wvball,New Jersey Athletic Conference,NCAA D-III
