Rank,Player,School,Cl,Ht,Pos,S,Digs
183,Kanani Price,Mississippi St. (SEC),Jr.,5-2,DS,114,423
183,Michelle Taynton,Sacramento St. (Big Sky),Jr.,5-3,DS,128,423
186,Macy Carrabine,Denver (Summit League),Jr.,5-11,L/DS,116,422
187,Zoe Fleck,UC Santa Barbara (Big West),So.,5-6,L,106,421
188,Tatum Pickar,South Dakota St. (Summit League),So.,5-3,L/DS,107,420
188,Madalon Simpson,VCU (Atlantic 10),Sr.,5-5,L,112,420
190,Cayce Chaykowsky,Saint Louis (Atlantic 10),So.,5-5,DS,110,419
191,Brooke Nuneviller,Oregon (Pac-12),So.,5-11,L,113,417
191,Rachel Whipple,Colorado (Pac-12),Sr.,5-7,L/DS,106,417
193,Camryn Allen,Towson (CAA),Jr.,5-7,L/DS,112,416
194,Hannah Lackey,Winthrop (Big South),Jr.,0-0,,109,415
195,Morgan Doll,Fairfield (MAAC),Fr.,5-8,OH,110,414
195,Fola Wilson,Howard (MEAC),Jr.,5-3,L,114,414
197,Bella Bowman,George Washington (Atlantic 10),So.,5-7,L,100,413
197,Raygan Murray,Seton Hall (Big East),Fr.,5-5,L/DS,106,413
197,Allegra Rivas,Maryland (Big Ten),So.,5-10,L,112,413
197,Jaycie Roberts,Niagara (MAAC),Jr.,5-7,DS,100,413
201,Alyssa Carlin,UIW (Southland),Jr.,5-4,L/DS,110,412
201,Kiani Kerstetter,Stony Brook (America East),Jr.,5-2,L,96,412
203,Diana Giordani,Little Rock (Sun Belt),Sr.,5-3,L/DS,95,410
204,Alondra Vazquez,Evansville (MVC),So.,5-11,OH,117,407
205,Jamye Cox,Michigan St. (Big Ten),Jr.,5-6,L/DS,100,406
205,Samantha Graver,La Salle (Atlantic 10),Jr.,5-10,OH,110,406
205,Emily Ramirez,UTSA (C-USA),Sr.,5-8,DS,111,406
205,Lindsey Tout,Cleveland St. (Horizon),So.,5-7,DS,101,406
209,Emily Tanski,New Hampshire (America East),Sr.,5-9,L/DS,98,405
210,Erin Carmichael,Jacksonville St. (OVC),Fr.,5-7,DS,106,404
210,Mary Lake,BYU (WCC),Sr.,5-7,L,112,404
212,Morgan O'Brien,Illinois (Big Ten),Jr.,5-8,DS,105,402
213,Darian Chwialkowski,North Dakota (Summit League),So.,5-11,OH,106,401
213,Natalie Smith,Michigan (Big Ten),Jr.,5-7,L,117,401
215,Maddie Tippett,Georgia Tech (ACC),So.,5-6,L/DS,123,400
216,Maci  Battle,Alabama A&M (SWAC),So.,5-5,RS,110,399
217,Shelby Capllonch,UNLV (Mountain West),Fr.,5-8,OH,126,398
217,Caitlin Clarke,Wake Forest (ACC),Sr.,5-6,DS,105,398
217,Brooke Stark,Bucknell (Patriot),Sr.,5-7,L,96,398
217,Emily Venable,Nicholls St. (Southland),Sr.,5-8,DS,106,398
221,Annie Benbow,San Diego (WCC),So.,5-3,L/DS,111,397
221,Loren Teter,San Diego St. (Mountain West),Jr.,5-6,DS,110,397
223,Cameron Dames,Princeton (Ivy League),So.,5-9,L,90,396
223,Jessica Paolucci,Iona (MAAC),Sr.,5-7,L,101,396
225,Anna  Brinkmann,Northern Ky. (Horizon),So.,6-0,OH,123,395
225,Ann Ernst,Loyola Maryland (Patriot),Sr.,5-9,OH,121,395
227,Taylor Jacobsen,Northern Ariz. (Big Sky),Fr.,6-1,OH,117,394
227,Margaux Thompson,Youngstown St. (Horizon),Jr.,5-11,OH,101,394
227,Josie Treadwell,Davidson (Atlantic 10),Sr.,5-10,OH,105,394
230,Skylar Blackmon,Charleston So. (Big South),Jr.,5-8,DS,103,393
230,Logan Kael,Western Ky. (C-USA),Jr.,5-7,L/DS,118,393
230,Franki Strefling,Eastern Mich. (MAC),Jr.,5-10,OH,106,393
230,Emillie Wright,Niagara (MAAC),Sr.,5-7,L,98,393
234,Rachel Pranger,Bradley (MVC),So.,5-11,OH,117,392
234,Emma Raleigh,Bradley (MVC),Jr.,5-8,L/DS,106,392
236,Makayla Bradford,CSUN (Big West),Jr.,5-6,DS,107,390
236,Katie Crowe,Purdue Fort Wayne (Summit League),Jr.,5-10,OH,128,390
